index,appid,name,release_date,english,developer,publisher,required_age,achievements,positive_ratings,negative_ratings,ratingpc,price,discount,discount_bin,windows,linux,mac,cat_Multi-player,cat_Online Multi-Player,cat_Single-player,cat_Steam Cloud,cat_Steam Achievements,cat_Steam Trading Cards,cat_Partial Controller Support,cat_Stats,cat_Co-op,cat_Full controller support,cat_Steam Leaderboards,cat_Shared/Split Screen,gen_Action,gen_Adventure,gen_Indie,gen_Strategy,gen_RPG,gen_Simulation,gen_Casual,gen_Early Access,all_time_peak,jun_19_av,jul_19_av,jun_jul_avuplift,jun_jul_avupliftpc
10,240,Counter-Strike: Source,2004-11-01,1,Valve,Valve,0,1,76640,3497,0.9563622296816702,7.19,90.0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,48458.0,3485.08,3875.5,390.4200000000001,0.11202612278627752
11,300,Day of Defeat: Source,2010-07-12,1,Valve,Valve,0,1,10489,1210,0.8965723566116762,7.19,90.0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2945.0,408.44,422.78,14.339999999999975,0.03510919596513558
12,320,Half-Life 2: Deathmatch,2004-11-01,1,Valve,Valve,0,0,6020,787,0.8843837226384604,3.99,90.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,849.0,150.15,154.8,4.650000000000006,0.030969030969031006
13,380,Half-Life 2: Episode One,2006-06-01,1,Valve,Valve,0,1,7908,517,0.9386350148367952,5.79,90.0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,602.0,101.4,155.84,54.44,0.5368836291913215
14,400,Portal,2007-10-10,1,Valve,Valve,0,1,51801,1080,0.9795767856129801,7.19,90.0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3370.0,488.27,688.96,200.69000000000005,0.4110225899604728
15,420,Half-Life 2: Episode Two,2007-10-10,1,Valve,Valve,0,1,13902,696,0.9523222359227291,5.79,90.0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,567.0,132.77,191.59,58.81999999999999,0.44302176696542883
16,500,Left 4 Dead,2008-11-17,1,Valve,Valve,0,1,17951,948,0.9498386157997778,7.19,90.0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,2333.0,394.19,561.42,167.22999999999996,0.4242370430503056
17,550,Left 4 Dead 2,2009-11-19,1,Valve,Valve,0,1,251789,8418,0.9676488334287702,7.19,80.0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,161590.0,10076.32,11248.62,1172.300000000001,0.11634207726630369
18,620,Portal 2,2011-04-18,1,Valve,Valve,0,1,138220,1891,0.9865035578933845,7.19,90.0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,14984.0,2496.65,3772.15,1275.5,0.5108845853443614
20,1200,Red Orchestra: Ostfront 41-45,2006-03-14,1,Tripwire Interactive,Tripwire Interactive,0,1,1562,223,0.8750700280112045,3.99,50.0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,455.0,19.99,22.28,2.2900000000000027,0.1145572786393198
21,1250,Killing Floor,2009-05-14,1,Tripwire Interactive,Tripwire Interactive,0,1,53710,2649,0.9529977465888323,14.99,0.0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,21151.0,363.38,338.07,-25.310000000000002,-0.06965160438108868
22,1300,SiN Episodes: Emergence,2006-05-10,1,Ritual Entertainment,Ritual Entertainment,0,0,468,61,0.8846880907372401,7.19,66.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,105.0,1.31,1.7,0.3899999999999999,0.2977099236641221
23,1500,Darwinia,2005-07-14,1,Introversion Software,Introversion Software,0,0,472,158,0.7492063492063492,7.19,0.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,72.0,2.48,1.98,-0.5,-0.20161290322580647
24,1510,Uplink,2006-08-23,1,Introversion Software,Introversion Software,0,0,1602,152,0.9133409350057012,6.99,0.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,173.0,9.17,10.07,0.9000000000000004,0.09814612868047987
25,1520,DEFCON,2006-09-29,1,Introversion Software,Introversion Software,0,1,2057,344,0.8567263640149938,7.19,0.0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,358.0,11.91,18.36,6.449999999999999,0.5415617128463476
26,1530,Multiwinia,2008-09-19,1,Introversion Software,Introversion Software,0,1,368,75,0.8306997742663657,7.19,0.0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44.0,1.21,1.08,-0.1299999999999999,-0.10743801652892554
27,1600,Dangerous Waters,2006-02-07,1,Sonalysts,Strategy First,0,0,140,44,0.7608695652173914,22.99,80.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21.0,3.31,3.26,-0.050000000000000266,-0.015105740181268963
28,1610,Space Empires IV Deluxe,2006-02-07,1,Malfador Machinations,Strategy First,0,0,112,26,0.8115942028985508,6.99,80.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69.0,13.13,10.31,-2.8200000000000003,-0.2147753236862148
29,1630,Disciples II: Rise of the Elves ,2006-07-06,1,Strategy First,Strategy First,0,0,451,108,0.8067978533094812,4.99,80.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,84.0,26.77,28.33,1.5599999999999987,0.05827418752334698
30,1640,Disciples II: Gallean's Return,2006-07-06,1,Strategy First,Strategy First,0,0,490,152,0.7632398753894081,4.99,85.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,100.0,22.33,29.1,6.770000000000003,0.30317957904164816
31,1670,Iron Warriors: T - 72 Tank Command ,2006-07-26,1,Strategy First,Strategy First,0,0,137,102,0.5732217573221757,3.99,80.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.0,0.46,0.26,-0.2,-0.43478260869565216
32,1690,Space Empires V,2006-10-16,1,Malfador Machinations,Strategy First,0,0,191,85,0.6920289855072463,10.99,80.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,137.0,12.3,12.3,0.0,0.0
33,1700,Arx Fatalis,2007-04-03,1,Arkane Studios,Arkane Studios,0,0,671,106,0.8635778635778636,2.99,50.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,89.0,4.35,7.5,3.1500000000000004,0.7241379310344829
34,1900,Earth 2160,2006-04-01,1,Reality Pump Studios,Topware Interactive;ACE,0,0,498,238,0.6766304347826086,3.99,80.0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,9947.0,89.58,222.32,132.74,1.481803974101362
35,1930,Two Worlds Epic Edition,2009-04-30,1,Reality Pump Studios,Topware Interactive,0,0,2656,1055,0.7157100511991377,6.99,75.0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,7453.0,131.77,187.23,55.45999999999998,0.42088487516126566
36,2100,Dark Messiah of Might & Magic,2006-10-25,1,Arkane Studios,Ubisoft,0,0,4386,316,0.9327945555082944,4.29,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,546.0,38.04,50.61,12.57,0.3304416403785489
