appid,name,discount
7660,X-COM: Apocalypse,75%
7730,X-COM: Interceptor,75%
7760,X-COM: UFO Defense,75%
7770,X-COM: Enforcer,75%
7830,Men of War™,75%
7840,Death Track®: Resurrection,77%
7860,NecroVision,80%
7940,Call of Duty® 4: Modern Warfare®,0
8000,Tomb Raider: Anniversary,0
8080,Kane and Lynch: Dead Men™,0
8100,Conflict: Denied Ops,0
8140,Tomb Raider: Underworld,0
8170,Battlestations Pacific,0
8190,Just Cause 2,0
8330,Telltale Texas Hold ‘Em,0
8340,Strong Bad's Cool Game for Attractive People: Season 1,0
8400,Geometry Wars: Retro Evolved,50%
8600,RACE 07,50%
8790,GTR 2 FIA GT Racing Game,50%
8800,Civilization IV: Beyond the Sword,0
8870,BioShock Infinite,75%
8880,Freedom Force,75%
8890,Freedom Force vs. the Third Reich,75%
8930,Sid Meier's Civilization® V,0
8970,Axel & Pixel,
9000,Spear of Destiny,33%
9010,Return to Castle Wolfenstein,50%
9030,QUAKE Mission Pack 2: Dissolution of Eternity,33%
9040,QUAKE Mission Pack 1: Scourge of Armagon,33%
9060,HeXen II,50%
9180,Commander Keen,
9200,RAGE,67%
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",0
9340,Company of Heroes: Opposing Fronts,0
9350,Supreme Commander,0
9420,Supreme Commander: Forged Alliance,0
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",0
9460,Frontlines™: Fuel of War™,75%
9480,Saints Row 2,75%
9500,Gish,0
9710,Desperados 2: Cooper's Revenge,75%
9760,Act of War: High Treason,60%
9800,Death to Spies,75%
9850,Codename: Panzers - Cold War,75%
9940,Blade Kitten,50%
9960,Haunted House™,60%
9970,Star Raiders,60%
9980,The UnderGarden,75%
10090,Call of Duty: World at War,50%
10100,King's Quest™ Collection,33%
10110,Space Quest™ Collection,75%
10120,Aces of the Galaxy™,75%
10130,TimeShift™,50%
10140,3D Ultra™ Minigolf Adventures,75%
10150,Prototype™,75%
10180,Call of Duty®: Modern Warfare® 2,25%
10220,Postal III,80%
10230,Dead Mountaineer's Hotel,80%
10240,A Stroke of Fate: Operation Valkyrie,80%
10250,PT Boats: Knights of the Sea,80%
10260,PT Boats: South Gambit,80%
10270,Disciples III: Reincarnation,75%
10460,The Club™,85%
10500,Total War: EMPIRE – Definitive Edition,75%
10680,Aliens vs. Predator™,0
11040,Sherlock Holmes - Nemesis,75%
11050,Dracula Origin,75%
11140,Sherlock Holmes: The Awakened - Remastered Edition,75%
11150,Sherlock Holmes: The Silver Earring,0
11190,Sherlock Holmes versus Jack the Ripper,75%
11200,Shadowgrounds Survivor,85%
11230,Gumboy Tournament,83%
11240,Space Trader: Merchant Marine,80%
11250,Pacific Storm,90%
11260,Pacific Storm Allies,90%
11280,Penguins Arena: Sedna's World,75%
11330,Obulis,80%
11340,Larva Mortus,80%
11360,Chains,80%
11450,Overlord™,75%
11480,Soldiers: Heroes of World War II,80%
11560,Maelstrom: The Battle for Earth Begins,88%
11590,Hospital Tycoon,75%
12100,Grand Theft Auto III,65%
12110,Grand Theft Auto: Vice City,0
12120,Grand Theft Auto: San Andreas,65%
12130,Manhunt,65%
12140,Max Payne,65%
12150,Max Payne 2: The Fall of Max Payne,0
12200,Bully: Scholarship Edition,65%
12210,Grand Theft Auto IV,0
12220,Grand Theft Auto: Episodes from Liberty City,65%
12310,Culpa Innata,80%
12320,Sacred Gold,
12330,Darkstar One,80%
12340,Jack Keane,85%
12360,FlatOut: Ultimate Carnage,80%
12390,Exodus from the Earth ,80%
12420,Perimeter 2: New Earth,90%
12430,SlamIt Pinball Big Score,80%
